,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
436,European University,world rank  11481,"76 D. Guramishvili Avenue
Tbilisi
0141 Tbilisi
Georgia",+995 (32) 2 000 171,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
437,European University,world rank  9851,"68 Kliment Ohridski Blvd
Skopje
1000
North Macedonia",+389 (2) 320 2020,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,International Assembly for Collegiate Business Education (IACBE),"European University
|
Faculty of Economics Faculty of Law Sciences Faculty of Political Sciences Faculty of Informatics Faculty of Art and Design",['library']
438,European University at St. Petersburg,world rank  3344,"6/1 Gagarinskaya Street
Saint Petersburg
191187 Saint Petersburg
Russia",+7 (812) 386 7648,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
439,European University College,world rank  11911,"Ibn Sina Building (No. 27), Block D, 3rd floor, Office 302
Dubai
Dubai
United Arab Emirates",+971 (4) 362 4787,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
440,European University Cyprus,world rank  4018,"6 Diogenes Street, Engomi
Nicosia
2404 Nicosia
Cyprus",+357 (22) 713 000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,"Laureate International Universities (LIU)
European Association of Institutions in Higher Education (EURASHE)","European University Cyprus
|
School of Arts and Education Sciences School of Business Administration School of Humanities and Social Sciences School of Law School of Medicine School of Sciences Distance Education Unit","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
441,European University of Bangladesh,world rank  10253,"Rupayan Shelford, Plot # 23/6, Block- B, Mirpur Road, Shyamoli
Dhaka
1207 Dhaka
Bangladesh",+880 (2) 911 0847,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
442,Europos Humanitarinis Universitetas,world rank  5375,"Tauro Street 12
Vilnius
01114 Vilnius
Lithuania",+370 (5) 263 9650,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"European University Association (EUA)
European University Foundation","Europos Humanitarinis Universitetas
|
Department of Law Department of Media Department of History Department of Social and Political Sciences Core Curriculum Center Distance Learning Center","['library', 'housing', 'financial aid', 'distant learning']"
443,Europska poslovna škola Zagreb,world rank  9651,"Selska cesta 119
Zagreb
10110 Zagreb
Croatia",+385 1 36 47 099,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
444,Evangel University,world rank  2802,"1111 N Glenstone
Springfield
65802-2125 Missouri
United States",+1 (417) 865 2815,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Council on Social Work Education (CSWE)
National Association of Schools of Music (NASM)
Council for the Accreditation of Educator Preparation (CAEP)","Council for Christian Colleges and Universities (CCCU)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
445,"Evangel University, Akaeze",world rank  11968,"Km 48 Enugu-Abakaliki Expressway
Enugu
Enugu
Nigeria",+234 (817) 018 1417,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
446,Evangelical Presbyterian University College,world rank  12032,"PO Box HP 678
Ho
Volta
Ghana",+233 (91) 26724,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,University of Cape Coast (UCC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
447,Evangelical University,world rank  13031,"60-64 Kwacha Road
Ndola
Copperbelt
Zambia",+260 (212) 614 304,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
448,Evangelische Hochschule Berlin,world rank  6451,"Teltower Damm 118-122
Berlin
14167 Berlin
Germany",+49 (30) 845820,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
449,Evangelische Hochschule Darmstadt,world rank  6741,"Zweifalltorweg 12
Darmstadt
64293 Hesse
Germany",+49 (6151) 8798 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
450,Evangelische Hochschule Dresden,world rank  5653,"Dürerstrasse 25
Dresden
01307 Saxony
Germany",+49 (351) 46902-0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
451,Evangelische Hochschule Freiburg,world rank  6272,"Bugginger Strasse 38
Freiburg im Breisgau
79114 Baden-Wurttemberg
Germany",+49 (761) 478120,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
452,Evangelische Hochschule für Kirchenmusik,world rank  8434,"Kleine Ulrichstrasse 35
Halle
06108 Saxony-Anhalt
Germany",+49 (345) 21969 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
453,Evangelische Hochschule für Soziale Arbeit und Diakonie,world rank  8304,"Horner Weg 170
Hamburg
22111 Hamburg
Germany",+49 (40) 65591 181,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"German Rectors' Conference (HRK)
State University Conference (LHK)
Rectors' Conference of Denominational Universities in Germany (RKHD)
Social Work Faculty Council (FBTS)
Conference of Deaconry Colleges (KAL)
Conference of Religious Pedagogy and Theological Faculties in Evangelical Universities","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'distant learning']"
454,Evangelische Hochschule Ludwigsburg,world rank  6536,"Auf der Karlshöhe 2
Ludwigsburg
71638 Baden-Wurttemberg
Germany",+49 (7141) 965 224,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
455,Evangelische Hochschule Nürnberg,world rank  6532,"Bärenschanzstrasse 4
Nürnberg
90429 Bavaria
Germany",+49 (911) 272536,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Evangelische Hochschule Nürnberg
|
Faculty of Social Sciences Faculty of Care Management Faculty of Religious Studies","['library', 'housing']"
456,Evangelische Hochschule Rheinland-Westfalen-Lippe,world rank  5340,"Immanuel-Kant-Strasse 18-20
Bochum
44803 North Rhine-Westphalia
Germany",+49 (234) 36901 - 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Evangelische Hochschule Rheinland-Westfalen-Lippe
|
Department of Social Work, Education and Diaconia Department of Inclusive Education and Nursing",['library']
